id;post_id;tag_id
1;1;2
2;1;34
3;1;130
4;1;131
5;1;73
6;2;17
7;2;65
8;2;89
9;2;57
10;3;96
11;3;5
12;3;28
13;4;126
14;4;2
15;4;34
16;4;63
17;4;90
18;5;16
19;5;4
20;5;77
21;5;122
22;6;92
23;7;66
24;7;33
25;7;80
26;7;27
27;7;74
28;8;60
29;8;53
30;8;8
31;9;131
32;9;73
33;9;104
34;10;5
35;10;20
36;10;22
37;11;53
38;11;37
39;11;125
40;11;55
41;11;18
42;12;81
43;12;31
44;12;2
45;12;101
46;12;114
47;13;16
48;13;77
49;13;129
50;13;38
51;13;100
52;14;36
53;14;2
54;14;70
55;15;32
56;15;62
57;15;48
58;16;110
59;16;27
60;16;4
61;16;40
62;16;9
63;17;49
64;17;44
65;17;109
66;17;34
67;18;15
68;18;43
69;18;108
70;18;91
71;19;59
72;19;67
73;19;19
74;20;121
75;20;113
76;20;86
77;21;26
78;21;8
79;21;17
80;22;116
81;22;99
82;22;117
83;23;81
84;23;36
85;23;56
86;23;31
87;23;35
88;24;7
89;24;27
90;24;123
91;25;62
92;25;111
93;25;93
94;25;102
95;25;58
96;26;42
97;26;79
98;26;3
99;26;127
100;27;61
101;27;4
102;27;60
103;27;39
104;28;1
105;28;88
106;28;44
107;28;95
108;29;105
109;29;44
110;29;25
111;29;97
112;30;78
113;30;52
114;30;82
115;30;120
116;30;4
117;31;40
118;31;14
119;31;4
120;31;27
121;31;115
122;32;44
123;32;49
124;32;24
125;33;21
126;33;50
127;33;51
128;33;25
129;34;64
130;34;4
131;34;16
132;34;87
133;35;68
134;35;27
135;36;2
136;36;36
137;36;34
138;36;25
139;37;60
140;37;13
141;37;54
142;38;55
143;38;18
144;38;37
145;38;112
146;38;63
147;39;24
148;39;109
149;39;63
150;39;44
151;39;45
152;40;53
153;40;48
154;40;119
155;41;37
156;41;63
157;42;13
158;42;41
159;43;75
160;43;83
161;43;53
162;43;2
163;44;11
164;44;22
165;44;85
167;45;96
168;45;28
169;45;5
170;45;25
171;45;76
172;46;46
173;46;51
174;46;124
175;46;1
176;47;106
177;47;71
178;48;4
179;48;38
180;48;30
181;49;67
182;49;118
183;49;59
184;50;41
185;50;13
186;51;47
187;51;17
188;51;8
189;52;9
190;52;27
191;52;40
192;52;14
193;53;94
194;53;128
195;53;84
196;54;98
197;54;29
198;54;10
199;54;103
200;55;27
201;56;23
202;57;91
203;57;35
204;58;53
205;59;12
206;59;72
207;60;31
208;60;43
